Group	Time	min.rec	spat.scale	cell	trait.g	pre.rec	pre.sps	pre.ratio	post.rec	post.sps	post.ratio	pre.raref	pre.95.low	pre.95.up	post.raref	post.95.low	post.95.up	status.change	perc.change	perc.95low	perc.95up	change.CI.span	pre.Mao.tau_int	pre.Mao.SD_int	pre.singletons	pre.tau.mean_int	pre.tauSD.mean_int	pre.singletons.mean_int	post.Mao.tau_int	post.Mao.SD_int	post.singletons	post.tau.mean_int	post.tauSD.mean_int	post.singletons.mean_int	Change.Mao_int	Change.Mao_int_CIlow	Change.Mao_int_CIup	Change.Mao_int_CIspan	Int_Pvalue	status.change.Mao_int	pre.Mao.tau_extr	pre.Mao.SD_extr	pre.singletons	pre.tau.mean_extr	pre.tauSD.mean_extr	pre.singletons.mean_extr	post.Mao.tau_extr	post.Mao.SD_extr	post.singletons	post.tau.mean_extr	post.tauSD.mean_extr	post.singletons.mean_extr	Change.Mao_extr	Change.Mao_extr_CIlow	Change.Mao_extr_CIup	Change.Mao_extr_CIspan	Extr_Pvalue	status.change.Mao_extr	pre.Mao.tau_extr_3x	pre.Mao.SD_extr_3x	pre.singletons	pre.tau.mean_extr_3x	pre.tauSD.mean_extr_3x	pre.singletons.mean_extr_3x	post.Mao.tau_extr_3x	post.Mao.SD_extr_3x	post.singletons	post.tau.mean_extr_3x	post.tauSD.mean_extr_3x	post.singletons.mean_extr_3x	Change.Mao_extr_3x	Change.Mao_extr_3x_CIlow	Change.Mao_extr_3x_CIup	Change.Mao_extr_3x_CIspan	Extr.3x_Pvalue	status.change.Mao_extr_3x
Plants	30-49vs50-69	30	G10	180410	insect_Nlow	32	14	2.29	89	14	6.36	14	14	14	10.2229	7.6871	12.7587	decrease	-26.979	-45.092	-8.866	36.226	14	1.3467	5	11.44	1.4846	3.54	10.2229	1.3446	3	9.5482	1.1676	2.11	-26.97928571	-48.18036131	3.006536884	51.1868982	3.81E-36	no.change	16.0589	2.4334	5	14.4485	3.1348	3.16	14	1.3923	3	12.42	1.112	1.92	-12.82092796	-42.08379185	59.95368358	102.0374754	7.76E-10	no.change	14	1.3467	5	11.44	1.4846	3.54	10.2229	1.3446	3	9.5482	1.1676	2.11	-12.82092796	-42.08379185	59.95368358	102.0374754	7.76E-10	no.change
Plants	30-49vs50-69	30	G10	130470	insect_Nlow	607	21	28.9	500	19	26.32	20.4095	19.0334	21.7855	19	19	19	decrease	-6.906	-0.175	-12.786	12.611	20.4095	1.4135	3	19.3004	0.937	1.64	19	0	0	18.81	0.1218	0.49	-6.906097651	-15.24803707	2.755052497	18.00308957	9.56E-25	no.change	21	1.4256	3	19.48	0.7372	1.78	19	0	0	18.8915	0.1896	0.43	-9.523809524	-15.98030826	-1.727824405	14.25248386	6.06E-50	decrease	20.4095	1.4135	3	19.3004	0.937	1.64	19	0	0	18.81	0.1218	0.49	-9.523809524	-15.98030826	-1.727824405	14.25248386	6.06E-50	decrease
Plants	30-49vs50-69	30	G10	160450	insect_Nlow	59	24	2.46	87	18	4.83	24	24	24	16.9085	15.1706	18.6464	decrease	-29.548	-36.789	-22.307	14.482	24	2.2478	8	20.08	1.7665	5.34	16.9085	0.7819	2	15.548	0.9764	2.09	-29.54791667	-42.68373915	-12.95532046	29.72841869	2.94E-61	decrease	26.8862	2.6277	8	22.2888	2.0699	5.37	18	0.6975	2	16.73	1.0915	2.05	-33.05115636	-46.23275555	-16.01520286	30.21755269	4.83E-64	decrease	24	2.2478	8	20.08	1.7665	5.34	16.9085	0.7819	2	15.548	0.9764	2.09	-33.05115636	-46.23275555	-16.01520286	30.21755269	4.83E-64	decrease
Plants	30-49vs50-69	30	G10	190300	insect_Nlow	35	15	2.33	42	9	4.67	15	15	15	8.6603	7.6311	9.6894	decrease	-42.265	-49.126	-35.404	13.722	15	1.4639	5	12.3	1.3933	3.62	8.6603	0.936	2	7.9311	0.6025	1.05	-42.26466667	-55.36362307	-22.16611513	33.19750794	3.49E-69	decrease	15.844	1.5192	5	12.8826	1.3885	3.86	9	0.9487	2	8.17	0.5581	1.08	-43.19616259	-55.21691227	-26.20178456	29.01512771	7.06E-72	decrease	15	1.4639	5	12.3	1.3933	3.62	8.6603	0.936	2	7.9311	0.6025	1.05	-43.19616259	-55.21691227	-26.20178456	29.01512771	7.06E-72	decrease
Plants	30-49vs50-69	30	G10	210450	insect_Nlow	40	15	2.67	62	17	3.65	15	15	15	14.6007	12.2592	16.9421	no.change	-2.662	-18.272	12.947	31.219	15	3.1957	8	11.79	1.4993	3.69	14.6007	1.5176	5	12.8164	1.436	3.39	-2.662	-29.57103753	38.73501985	68.30605738	0.337092838	no.change	19.1229	3.6098	8	13.181	1.8278	3.45	17	1.6247	5	14.51	1.5106	3.52	-11.10134969	-35.34871211	27.8748746	63.22358671	7.29E-08	no.change	15	3.1957	8	11.79	1.4993	3.69	14.6007	1.5176	5	12.8164	1.436	3.39	-11.10134969	-35.34871211	27.8748746	63.22358671	7.29E-08	no.change
Plants	30-49vs50-69	30	G10	250490	insect_Nlow	195	24	8.12	78	16	4.88	20.559	17.846	23.272	16	16	16	decrease	-22.175	-10.344	-31.248	20.904	20.559	1.0966	2	19.5542	1.274	2.21	16	2.6491	5	14.02	1.3478	2.96	-22.17520307	-38.43853999	-2.966459805	35.47208018	5.74E-51	decrease	24	0.6999	2	22.89	1.1171	2.29	21.6504	5.08	5	15.7834	2.369	2.77	-9.79	-35.63860354	18.51185169	54.15045523	7.05E-12	no.change	20.559	1.0966	2	19.5542	1.274	2.21	16	2.6491	5	14.02	1.3478	2.96	-9.79	-35.63860354	18.51185169	54.15045523	7.05E-12	no.change
Plants	30-49vs50-69	30	G10	190520	insect_Nlow	43	13	3.31	127	18	7.06	13	13	13	13.758	11.0358	16.4802	no.change	5.831	-15.109	26.771	41.88	13	0	0	12.4	0.7883	1.86	13.758	1.4618	3	12.9459	1.2903	2.14	5.830769231	-16.80877778	32.67823253	49.48701032	2.36E-08	no.change	13	0	0	13.5576	1.8141	1.87	18	1.4142	3	16.4	1.0035	2.15	38.46153846	7.878394488	92.84054543	84.96215095	7.47E-55	increase	13	0	0	12.4	0.7883	1.86	13.758	1.4618	3	12.9459	1.2903	2.14	38.46153846	7.878394488	92.84054543	84.96215095	7.47E-55	increase
Plants	30-49vs50-69	30	G10	180310	insect_Nlow	225	33	6.82	547	28	19.54	33	33	33	21.398	17.9543	24.8416	decrease	-35.158	-45.593	-24.722	20.871	33	2.7703	10	28.77	2.0333	5.97	21.398	3.3949	9	20.2725	1.8505	3.99	-35.15757576	-50.52926593	-18.96735768	31.56190825	6.75E-85	decrease	40.6172	5.3758	10	32.06	3.3099	5.78	28	4.0688	9	24.52	1.6611	4.04	-31.0636873	-45.17806398	-9.687767718	35.49029627	1.42E-61	decrease	33	2.7703	10	28.77	2.0333	5.97	21.398	3.3949	9	20.2725	1.8505	3.99	-31.0636873	-45.17806398	-9.687767718	35.49029627	1.42E-61	decrease
Plants	30-49vs50-69	30	G10	100510	insect_Nlow	52	9	5.78	507	23	22.04	9	9	9	12.5907	9.5119	15.6694	increase	39.897	5.688	74.104	68.416	9	1.3416	3	7.59	0.8769	1.9	12.5907	2.449	6	12.4538	1.7954	2.71	39.89666667	-4.983277749	98.84641594	103.8296937	6.99E-40	no.change	11.25	3.3956	3	9.2038	2.6779	1.73	23	3.1777	6	20.56	1.4239	2.81	104.4444444	28.65040267	372.6441008	343.9936981	4.56E-70	increase	11.099	2.9198	3	8.9296	1.9232	1.56	17.3436	2.769	6	16.7485	1.6308	3.01	56.26272637	3.036916181	180.2096372	177.172721	1.58E-55	increase
Plants	30-49vs50-69	30	G10	100500	insect_Nlow	45	16	2.81	81	18	4.5	16	16	16	14.2984	11.5421	17.0548	no.change	-10.635	-27.862	6.593	34.455	16	2.8284	8	12.77	1.5029	3.68	14.2984	1.6935	6	12.6411	1.2869	3.88	-10.635	-34.47048762	24.21073882	58.68122644	2.86E-06	no.change	21.2989	4.1142	8	14.9024	2.2896	3.83	18	1.8974	6	15.21	1.5263	3.7	-15.48859331	-40.49956788	27.67928112	68.178849	3.18E-18	no.change	16	2.8284	8	12.77	1.5029	3.68	14.2984	1.6935	6	12.6411	1.2869	3.88	-15.48859331	-40.49956788	27.67928112	68.178849	3.18E-18	no.change
Plants	30-49vs50-69	30	G10	190350	insect_Nlow	32	14	2.29	52	15	3.47	14	14	14	12.3984	10.0442	14.7525	no.change	-11.44	-28.256	5.375	33.631	14	2.556	7	11.22	1.4469	3.59	12.3984	1.4638	5	10.8497	1.3647	3.3	-11.44	-38.68622556	25.55970609	64.24593165	3.29E-16	no.change	17.7066	3.1545	7	12.5166	1.8231	3.5	15	1.6082	5	12.68	1.518	3.17	-15.28582562	-40.50101865	23.86328206	64.36430071	1.41E-17	no.change	14	2.556	7	11.22	1.4469	3.59	12.3984	1.4638	5	10.8497	1.3647	3.3	-15.28582562	-40.50101865	23.86328206	64.36430071	1.41E-17	no.change
Plants	30-49vs50-69	30	G10	150600	insect_Nlow	347	22	15.77	290	20	14.5	21.7543	20.8445	22.6642	20	20	20	decrease	-8.064	-4.051	-11.755	7.704	21.7543	0.4337	1	20.7575	0.5544	1.56	20	2.4081	7	16.74	1.4825	3.48	-8.064152834	-24.56394619	9.063746029	33.62769221	7.75E-14	no.change	22	0.4067	1	21.21	0.7837	1.6	21.2679	2.5808	7	17.4752	1.5899	3.74	-3.327727273	-20.27888462	15.34205507	35.62093969	0.000572137	no.change	21.7543	0.4337	1	20.7575	0.5544	1.56	20	2.4081	7	16.74	1.4825	3.48	-3.327727273	-20.27888462	15.34205507	35.62093969	0.000572137	no.change
